=======  节点名是！  =======
======= 提取了vecters们！ =======
x: -0.3294675, y: 0.1015268, z: 0.856333
x: -0.3739466, y: 0.1215108, z: 0.8171842
x: -0.3677534, y: 0.03916959, z: 0.8188507
x: -0.3189271, y: 0.02944143, z: 0.8455605
x: -0.2483227, y: 0.1012353, z: 0.9009383
x: -0.348709, y: -0.01324198, z: 0.7733418
x: -0.2404512, y: 0.01571747, z: 0.8838348
x: -0.1581402, y: 0.09210045, z: 0.9301893
x: -0.3076993, y: -0.02762454, z: 0.7964705
x: -0.3279126, y: -0.04822657, z: 0.702498
x: -0.1461872, y: 0.007457219, z: 0.9127942
x: -0.08457544, y: 0.07995303, z: 0.9454464
x: -0.09137799, y: 0.01357952, z: 0.929995
x: -0.06922109, y: -0.08554345, z: 0.885098
x: -0.2221814, y: -0.05726425, z: 0.8315523
x: -0.1204346, y: -0.0933178, z: 0.8543894
x: -2.938602E-05, y: -0.1681459, z: 0.8124079
x: -0.2888465, y: -0.07310448, z: 0.7196988
x: -0.2067299, y: -0.1347162, z: 0.7379685
x: -0.2850565, y: -0.07757474, z: 0.6321402
x: -0.3081852, y: -0.03228915, z: 0.6273783
x: -0.1111054, y: -0.1810707, z: 0.7405924
x: -0.2124635, y: -0.1529859, z: 0.6333064
x: -0.292928, y: -0.07436781, z: 0.5390424
x: -0.3043952, y: 0.04341359, z: 0.5430267
x: -0.3063975, y: 0.04593196, z: 0.6074345
x: -0.2961349, y: 0.03942923, z: 0.4644086
x: -0.110911, y: -0.2024502, z: 0.6334035
x: -0.217614, y: -0.1594969, z: 0.5311708
x: -0.2851537, y: -0.06426116, z: 0.4594524
x: -2.938602E-05, y: -0.2066289, z: 0.7305829
x: -0.3021601, y: -0.06766244, z: 0.4531358
x: -0.3164454, y: 0.04836973, z: 0.4606186
x: -0.3071162, y: -0.06008244, z: 0.3620787
x: -0.3220818, y: 0.05206255, z: 0.3686869
x: -0.2330655, y: -0.166008, z: 0.4349632
x: -0.2243194, y: -0.158428, z: 0.4419601
x: -0.1107167, y: -0.212071, z: 0.5210642
x: -0.2924421, y: -0.05551502, z: 0.3482792
x: -0.3057557, y: 0.05274281, z: 0.3537213
x: -0.2385076, y: -0.1633841, z: 0.3432259
x: -0.2296642, y: -0.1557069, z: 0.3280659
x: -0.1221839, y: -0.2220805, z: 0.411543
x: -0.1263626, y: -0.224024, z: 0.3225267
x: -0.1250992, y: -0.2088641, z: 0.3046457
x: -0.07223365, y: -0.2380179, z: 0.3108652
x: -0.03627729, y: -0.2279112, z: 0.2786988
x: -2.938602E-05, y: -0.2297576, z: 0.6278643
x: -0.09876362, y: -0.2126541, z: 0.4179568
x: -0.08506133, y: -0.235394, z: 0.3581915
x: -2.938602E-05, y: -0.2726137, z: 0.3690756
x: -2.938602E-05, y: -0.2567735, z: 0.2843352
x: -2.938602E-05, y: -0.2373376, z: 0.2688837
x: 0.06099926, y: -0.2333533, z: 0.3050344
x: 0.05856977, y: -0.2347138, z: 0.2855014
x: 0.09442897, y: -0.2154723, z: 0.2957052
x: -0.09332158, y: -0.2314097, z: 0.4005617
x: -0.07369135, y: -0.225093, z: 0.439725
x: -0.06008624, y: -0.258134, z: 0.4266058
x: 0.08830667, y: -0.2252874, z: 0.3142664
x: 0.1250405, y: -0.2088641, z: 0.3046457
x: -2.938602E-05, y: -0.2390869, z: 0.5126095
x: -2.938602E-05, y: -0.2393784, z: 0.454885
x: 0.08509974, y: -0.235394, z: 0.3581915
x: 0.1263038, y: -0.2165412, z: 0.3225267
x: 0.2297027, y: -0.1557069, z: 0.3280659
x: -2.938602E-05, y: -0.2697955, z: 0.4417658
x: 0.06012464, y: -0.258134, z: 0.4266058
x: 0.07363258, y: -0.225093, z: 0.439725
x: 0.1107551, y: -0.212071, z: 0.5210642
x: 0.238546, y: -0.1633841, z: 0.3432259
x: 0.2924805, y: -0.05551502, z: 0.3482792
x: 0.09326281, y: -0.2314097, z: 0.4005617
x: 0.1222223, y: -0.2220805, z: 0.411543
x: 0.09880204, y: -0.2126541, z: 0.4179568
x: 0.2243578, y: -0.158428, z: 0.4419601
x: 0.1108523, y: -0.2024502, z: 0.6334035
x: 0.2330067, y: -0.166008, z: 0.4349632
x: 0.3071546, y: -0.06008244, z: 0.3620787
x: 0.2175552, y: -0.1594969, z: 0.5311708
x: 0.1111438, y: -0.1810707, z: 0.7405924
x: 0.3221202, y: 0.05206255, z: 0.3686869
x: 0.3056969, y: 0.05274281, z: 0.3537213
x: 0.3164838, y: 0.04836973, z: 0.4606186
x: 0.3021013, y: -0.06766244, z: 0.4531358
x: 0.2960761, y: 0.03942923, z: 0.4644086
x: 0.2851921, y: -0.06426116, z: 0.4594524
x: 0.2928692, y: -0.07436781, z: 0.5390424
x: 0.3044336, y: 0.04341359, z: 0.5430267
x: 0.1203759, y: -0.0933178, z: 0.8543894
x: 0.06916233, y: -0.08554345, z: 0.885098
x: 0.2125019, y: -0.1529859, z: 0.6333064
x: 0.3081264, y: -0.03228915, z: 0.6273784
x: 0.3063389, y: 0.04593195, z: 0.6074346
x: 0.2850949, y: -0.07757474, z: 0.6321402
x: 0.3278538, y: -0.04822657, z: 0.702498
x: 0.2066711, y: -0.1347162, z: 0.7379685
x: 0.2888849, y: -0.07310448, z: 0.7196988
x: 0.1461284, y: 0.007457219, z: 0.9127942
x: 0.09141641, y: 0.01357952, z: 0.929995
x: 0.08451667, y: 0.07995303, z: 0.9454464
x: 0.1581786, y: 0.09210045, z: 0.9301893
x: 0.2221227, y: -0.05726425, z: 0.8315523
x: 0.3077377, y: -0.02762454, z: 0.7964705
x: 0.3486502, y: -0.01324198, z: 0.7733418
x: 0.2403924, y: 0.01571747, z: 0.8838348
x: 0.2483611, y: 0.1012353, z: 0.9009383
x: 0.3206625, y: 0.03806872, z: 0.848753
x: 0.3676946, y: 0.03916957, z: 0.8188508
x: 0.3295059, y: 0.1015268, z: 0.856333
x: 0.3738878, y: 0.1215108, z: 0.8171842
x: -0.3220818, y: 0.05206255, z: 0.3686869
x: -0.2532788, y: 0.1636245, z: 0.3583859
x: -0.3057557, y: 0.05274281, z: 0.3537213
x: -0.2608588, y: 0.1755775, z: 0.37306
x: -0.1321933, y: 0.2422426, z: 0.3534297
x: -0.3164454, y: 0.04836973, z: 0.4606186
x: -0.1324849, y: 0.2551674, z: 0.3686869
x: -2.938602E-05, y: 0.2503085, z: 0.3521664
x: -0.2585265, y: 0.1784929, z: 0.4604242
x: -0.1332623, y: 0.2446721, z: 0.4535245
x: -0.2466706, y: 0.1698439, z: 0.4664494
x: -0.2961349, y: 0.03942923, z: 0.4644086
x: -0.3043952, y: 0.04341359, z: 0.5430267
x: -0.1333595, y: 0.2298036, z: 0.4623678
x: -2.938602E-05, y: 0.2381611, z: 0.4614932
x: -2.938602E-05, y: 0.2508915, z: 0.4519696
x: -2.938602E-05, y: 0.2629418, z: 0.3679095
x: 0.1325233, y: 0.2551674, z: 0.3686869
x: 0.1322317, y: 0.2422426, z: 0.3534297
x: -0.2389935, y: 0.1785901, z: 0.5489546
x: 0.1332035, y: 0.2446721, z: 0.4535245
x: 0.2608972, y: 0.1755775, z: 0.37306
x: 0.2533172, y: 0.1636245, z: 0.3583859
x: 0.3221202, y: 0.05206255, z: 0.3686869
x: 0.3056969, y: 0.05274281, z: 0.3537213
x: 0.3164838, y: 0.04836973, z: 0.4606186
x: 0.2584678, y: 0.1784929, z: 0.4604242
x: 0.1333979, y: 0.2298036, z: 0.4623678
x: 0.246709, y: 0.1698439, z: 0.4664494
x: 0.2960761, y: 0.03942923, z: 0.4644086
x: 0.3044336, y: 0.04341359, z: 0.5430267
x: 0.2390319, y: 0.1785901, z: 0.5489546
x: 0.12747, y: 0.2273741, z: 0.5508983
x: 0.2924805, y: 0.1451604, z: 0.6060961
x: 0.3063389, y: 0.04593195, z: 0.6074346
x: 0.3145322, y: 0.1364676, z: 0.6024601
x: 0.3335572, y: 0.1745812, z: 0.6680159
x: 0.2264957, y: 0.2179478, z: 0.674316
x: 0.3028787, y: 0.1881137, z: 0.6746076
x: 0.3612409, y: 0.1674056, z: 0.7604767
x: 0.3163866, y: 0.1991069, z: 0.7764515
x: 0.326882, y: 0.1651793, z: 0.8447686
x: 0.3738878, y: 0.1215108, z: 0.8171842
x: 0.3295059, y: 0.1015268, z: 0.856333
x: 0.2483611, y: 0.1012353, z: 0.9009383
x: 0.2313547, y: 0.1972485, z: 0.8663425
x: 0.2214424, y: 0.225084, z: 0.7796584
x: 0.1227082, y: 0.2350513, z: 0.6656671
x: 0.1482663, y: 0.1756747, z: 0.9146406
x: 0.1581786, y: 0.09210045, z: 0.9301893
x: 0.07110592, y: 0.1732452, z: 0.9470013
x: 0.08451667, y: 0.07995303, z: 0.9454464
x: 0.0575008, y: 0.1397183, z: 0.959246
x: -2.938602E-05, y: 0.1645963, z: 0.9647852
x: 0.1146423, y: 0.2249447, z: 0.8729507
x: -2.938602E-05, y: 0.2333993, z: 0.8730478
x: 0.1172661, y: 0.2422426, z: 0.778298
x: -2.938602E-05, y: 0.199678, z: 0.9480703
x: -0.0710675, y: 0.1732452, z: 0.9470013
x: -0.05746239, y: 0.1397183, z: 0.959246
x: -0.08457544, y: 0.07995303, z: 0.9454464
x: -0.1581402, y: 0.09210045, z: 0.9301893
x: -0.1483251, y: 0.1756747, z: 0.9146406
x: -0.2483227, y: 0.1012353, z: 0.9009383
x: -0.1146039, y: 0.2249447, z: 0.8729507
x: -2.938602E-05, y: 0.2466156, z: 0.7739249
x: -0.2313163, y: 0.1972485, z: 0.8663425
x: -0.1172277, y: 0.2422426, z: 0.778298
x: -0.2215012, y: 0.225084, z: 0.7796584
x: -0.3269408, y: 0.1610867, z: 0.8447686
x: -0.3294675, y: 0.1015268, z: 0.856333
